rank_diff,home_form_win_rate,away_form_win_rate,home_form_goal_rate,away_form_goal_rate,home_form_concede,away_form_concede,h2h_home_win_rate,tournament_weight,is_neutral,home_team,away_team,date,home_score,away_score,outcome
-3,0.3333333333333333,0.6,0.6666666666666666,1.4,1.0,0.4,0.3333333333333333,0.85,0,Croatia,Belgium,2010-04-20,1,1,1
8,0.5,0.4,1.2,1.4,1.0,0.6,0.3333333333333333,0.85,0,Brazil,Belgium,2010-04-22,1,0,0
6,0.5,0.3333333333333333,1.2,0.3333333333333333,1.0,1.3333333333333333,0.18181818181818182,0.3,0,Brazil,Spain,2010-04-22,0,0,1
-24,0.3333333333333333,0.5,1.3333333333333333,0.5,1.0,0.0,0.3,1.0,1,South Korea,Brazil,2010-04-24,3,0,0
8,0.0,0.2,1.0,0.8,2.3333333333333335,0.8,0.25,0.3,0,Portugal,Switzerland,2010-04-24,1,2,2
1,1.0,0.2,1.0,0.8,0.0,0.8,0.4166666666666667,0.8,0,Netherlands,Belgium,2010-04-29,1,1,1
11,0.25,0.3333333333333333,0.25,0.3333333333333333,1.0,1.0,0.5,0.3,0,Spain,Mexico,2010-05-01,2,3,2
3,0.5,0.4,1.5,0.8,1.0,0.6,0.4,0.3,0,Uruguay,Switzerland,2010-05-01,3,0,0
1,0.3333333333333333,1.0,1.3333333333333333,2.0,1.0,0.0,0.36363636363636365,0.3,0,France,Argentina,2010-05-03,1,1,1
-1,0.5,0.25,1.0,0.75,1.5,1.0,0.4666666666666667,0.8,0,Morocco,Croatia,2010-05-13,3,1,0
-19,0.4,0.3333333333333333,1.4,0.3333333333333333,0.8,1.0,0.2857142857142857,0.3,1,Senegal,Brazil,2010-05-20,0,1,2
-9,0.5,0.5,1.2,0.5,1.0,0.75,0.2857142857142857,0.85,0,Italy,Brazil,2010-05-23,1,1,1
20,0.25,0.0,1.25,0.6666666666666666,1.0,1.0,0.36363636363636365,0.3,1,France,Japan,2010-05-25,1,0,0
-12,0.5,0.0,1.75,0.8,0.75,1.0,0.3333333333333333,0.8,1,South Korea,Denmark,2010-05-27,1,2,2
17,0.4,0.0,1.4,0.5,1.2,1.0,0.5,0.85,1,England,Japan,2010-05-30,4,0,0
10,0.0,0.4,1.0,0.8,1.0,1.2,0.3333333333333333,0.3,0,Germany,Switzerland,2010-05-31,0,1,2
-9,0.2,0.5,0.8,1.5,1.4,0.5,0.2727272727272727,0.3,0,Croatia,Argentina,2010-06-02,2,1,0
3,0.5,0.0,1.0,0.25,1.25,1.75,0.5,0.3,0,Mexico,USA,2010-06-04,3,0,0
-12,0.6,0.0,1.4,1.0,1.0,2.25,0.25,0.3,0,Mexico,Portugal,2010-06-08,0,0,1
-4,0.6666666666666666,0.2,1.6666666666666667,1.0,1.3333333333333333,0.8,0.3333333333333333,0.3,1,Morocco,Belgium,2010-06-09,1,0,0
1,0.6666666666666666,0.4,2.0,1.2,0.6666666666666666,1.2,0.2222222222222222,1.0,1,Uruguay,Croatia,2010-06-10,1,1,1
-8,0.2,0.4,0.8,1.2,1.0,1.2,0.25,0.6,0,Senegal,Croatia,2010-06-11,1,1,1
9,0.4,0.0,0.6,1.0,0.8,1.0,0.0,0.3,0,Brazil,Italy,2010-06-18,0,0,1
5,0.4,0.0,0.6,0.8,0.8,1.8,0.0,0.3,0,Brazil,Portugal,2010-06-24,0,0,1
8,0.6,0.2,2.2,1.0,0.8,1.0,0.375,0.3,0,England,Denmark,2010-06-30,1,1,1
-7,0.2,0.4,0.8,1.2,0.8,0.8,0.17647058823529413,0.3,1,Belgium,France,2010-06-30,1,2,2
-1,0.0,0.3333333333333333,0.75,1.3333333333333333,1.0,1.0,0.2727272727272727,0.85,0,Germany,Argentina,2010-07-04,0,0,1
-12,0.6,0.6,1.0,1.4,1.0,0.8,0.3333333333333333,0.3,0,Switzerland,France,2010-07-05,3,2,0
-2,0.75,0.5,1.5,1.75,1.0,0.75,0.4,0.85,0,Morocco,Uruguay,2010-07-07,0,0,1
-10,0.6,0.5,1.4,1.0,1.0,0.5,0.16666666666666666,0.3,0,Mexico,Netherlands,2010-07-12,2,1,0
-6,0.2,0.2,1.0,0.6,0.8,1.4,0.15384615384615385,0.8,0,Denmark,Spain,2010-07-18,0,3,2
-12,0.4,0.2,1.6,0.8,1.0,1.2,0.3333333333333333,0.6,0,South Korea,Denmark,2010-07-21,0,0,1
3,0.0,0.2,0.4,1.2,1.6,1.0,0.4166666666666667,0.3,0,Japan,South Korea,2010-07-22,0,1,2
-12,0.0,0.0,0.2,0.6,2.0,1.2,0.16666666666666666,0.3,0,USA,Belgium,2010-07-23,2,1,0
-2,0.2,0.4,0.6,1.4,1.0,0.6,0.25,0.6,0,Denmark,Uruguay,2010-07-24,1,0,0
8,0.6,0.2,1.2,0.6,0.8,2.0,0.42857142857142855,0.3,1,Morocco,USA,2010-07-27,2,1,0
-19,0.4,0.0,1.2,0.6,0.8,1.6,0.0,0.8,0,South Korea,Portugal,2010-08-03,0,0,1
7,0.2,0.8,0.8,1.8,0.8,0.6,0.5333333333333333,0.6,1,Uruguay,Mexico,2010-08-04,1,0,0
13,0.2,0.4,1.2,1.0,1.4,0.4,0.25,0.6,1,Croatia,South Korea,2010-08-08,1,0,0
22,0.25,0.4,1.0,1.0,0.75,0.4,0.4166666666666667,0.3,0,Argentina,South Korea,2010-08-08,0,0,1
-1,0.8,0.8,1.6,1.6,1.4,0.4,0.2222222222222222,0.85,0,Switzerland,Morocco,2010-08-08,1,2,2
13,0.4,0.2,1.2,0.8,1.0,1.0,0.18181818181818182,0.3,1,Spain,Senegal,2010-08-09,0,0,1
1,0.0,0.6,0.6,2.4,0.8,0.4,0.23076923076923078,0.3,0,Germany,England,2010-08-09,0,2,2
18,0.0,0.0,0.4,0.2,1.0,1.6,0.5555555555555556,0.3,0,Germany,Japan,2010-08-14,2,1,0
7,0.0,0.4,0.2,0.8,1.2,1.0,0.3333333333333333,0.3,1,Portugal,Denmark,2010-08-18,1,1,1
1,0.2,0.2,0.8,0.8,0.8,2.2,0.4,0.3,0,Senegal,USA,2010-08-21,2,1,0
-9,0.2,0.4,1.0,1.2,2.0,1.2,0.42857142857142855,1.0,1,USA,Croatia,2010-08-22,1,1,1
19,0.2,0.0,0.8,0.4,0.6,1.8,0.45454545454545453,0.3,0,Argentina,Japan,2010-08-24,1,0,0
5,0.2,0.0,0.6,0.6,1.0,1.4,0.5,0.3,0,Germany,Belgium,2010-08-26,0,2,2
8,0.4,0.0,1.4,0.5,1.2,0.5,0.3333333333333333,1.0,1,France,Italy,2010-08-29,1,1,1
-17,0.0,0.6,0.2,2.4,1.8,0.4,0.16666666666666666,0.3,1,Japan,England,2010-08-31,1,0,0
6,0.2,0.2,0.6,1.0,0.6,1.2,0.3076923076923077,0.8,0,Argentina,Belgium,2010-09-01,2,0,0
1,0.4,0.2,0.8,0.4,0.4,1.2,0.45454545454545453,0.8,0,Argentina,Germany,2010-09-04,1,0,0
-13,0.4,0.4,1.0,1.2,0.8,0.6,0.36363636363636365,1.0,1,Senegal,Spain,2010-09-04,3,0,0
2,0.4,0.2,1.4,0.4,1.2,1.2,0.4444444444444444,0.3,0,France,Germany,2010-09-18,2,0,0
-2,0.2,0.4,0.4,1.2,1.6,0.6,0.2727272727272727,0.6,0,Japan,Senegal,2010-09-18,0,0,1
4,0.3333333333333333,0.4,1.0,1.2,1.0,0.8,0.3333333333333333,1.0,1,Netherlands,Croatia,2010-09-19,2,1,0
4,0.0,0.0,0.4,0.6666666666666666,0.6,0.6666666666666666,0.2222222222222222,0.6,0,Portugal,Italy,2010-09-19,2,1,0
-3,0.2,0.2,0.8,0.6,1.4,0.4,0.45454545454545453,0.6,0,Belgium,Portugal,2010-09-23,1,2,2
-7,0.4,0.2,1.0,0.4,0.4,1.6,0.3333333333333333,0.3,0,Uruguay,Germany,2010-10-10,2,1,0
2,0.2,0.4,1.0,0.8,1.6,0.6,0.5333333333333333,0.6,0,Belgium,Uruguay,2010-10-12,3,0,0
13,0.5,0.2,1.25,1.0,1.0,1.8,0.14285714285714285,0.85,0,Netherlands,USA,2010-10-17,1,1,1
-8,0.6,0.0,1.6,0.75,0.8,1.0,0.2857142857142857,0.85,0,Mexico,Italy,2010-10-18,1,0,0
-7,0.6,0.4,1.2,0.6,0.4,1.0,0.26666666666666666,0.8,0,Mexico,Uruguay,2010-10-20,0,0,1
-9,0.2,0.2,0.4,0.6,0.8,1.0,0.07692307692307693,0.3,0,Japan,Denmark,2010-10-23,1,1,1
2,0.0,0.2,0.6,1.0,1.0,1.0,0.2857142857142857,0.3,1,Italy,Croatia,2010-10-24,4,2,0
-2,0.4,0.2,1.0,0.6,0.6,1.6,0.3333333333333333,0.85,0,Portugal,Germany,2010-10-29,2,1,0
9,0.4,0.4,0.6,1.2,1.0,0.4,0.25,0.3,1,Uruguay,Senegal,2010-10-29,1,0,0
13,0.2,0.6,0.4,1.4,0.8,1.6,0.3076923076923077,1.0,1,Brazil,Switzerland,2010-11-01,1,1,1
2,0.2,0.4,1.0,1.4,1.2,1.2,0.25,0.85,0,Spain,Belgium,2010-11-02,1,2,2
-14,0.2,0.2,1.2,1.2,1.4,1.6,0.17647058823529413,1.0,1,USA,Spain,2010-11-06,0,1,2
18,0.0,0.2,0.4,0.6,1.8,0.8,0.5555555555555556,0.85,0,Germany,Japan,2010-11-12,2,0,0
5,0.2,0.6,0.6,1.4,0.4,0.8,0.0,1.0,1,Brazil,Portugal,2010-11-14,0,0,1
-7,0.2,0.4,1.2,1.6,1.6,0.6,0.16666666666666666,0.6,0,Croatia,England,2010-11-15,1,1,1
8,0.4,0.2,1.2,0.4,1.6,0.8,0.5384615384615384,0.3,0,Switzerland,Japan,2010-11-16,1,1,1
7,0.8,0.4,1.6,1.0,0.6,0.4,0.21428571428571427,1.0,1,Morocco,Senegal,2010-11-17,0,0,1
-1,0.2,0.6,1.2,1.6,1.2,1.0,0.14285714285714285,0.8,0,Italy,Belgium,2010-11-19,1,0,0
8,0.4,0.2,1.6,0.6,0.6,1.0,0.375,0.3,1,England,Denmark,2010-11-19,1,1,1
-15,0.4,0.2,1.0,1.0,0.4,0.8,0.4,0.6,0,Senegal,England,2010-11-20,4,0,0
-11,0.6,0.6,1.0,1.6,0.4,1.0,0.42857142857142855,0.6,0,Morocco,France,2010-11-20,1,1,1
4,0.4,0.2,1.2,0.8,1.2,0.6,0.4166666666666667,1.0,1,Belgium,Denmark,2010-11-21,0,1,2
1,0.2,0.2,0.8,0.8,1.4,1.4,0.23076923076923078,0.6,0,Germany,England,2010-11-24,4,0,0
3,0.6,0.4,0.8,1.4,0.8,1.2,0.4,0.6,0,Uruguay,Switzerland,2010-11-29,1,0,0
-3,0.2,0.2,0.2,0.6,0.2,0.8,0.4166666666666667,1.0,1,South Korea,Japan,2010-12-02,0,1,2
-7,0.4,0.0,1.2,0.4,1.0,0.4,0.5,0.3,0,Netherlands,Brazil,2010-12-02,1,0,0
3,0.4,0.0,0.6,0.8,0.4,1.4,0.5,1.0,1,Mexico,USA,2010-12-03,1,2,2
4,0.4,0.4,1.6,1.2,1.2,1.0,0.3,0.3,0,Germany,Netherlands,2010-12-08,0,3,2
11,0.6,0.2,0.8,0.6,0.8,0.8,0.18181818181818182,0.3,0,Uruguay,Japan,2010-12-10,1,3,2
1,0.4,0.6,1.0,1.6,1.0,0.8,0.3333333333333333,0.6,0,Spain,Netherlands,2010-12-15,3,0,0
-2,0.4,0.4,1.2,1.0,1.0,1.0,0.5833333333333334,0.8,0,Belgium,Spain,2010-12-20,1,0,0
-19,0.2,0.6,0.2,1.4,0.4,0.8,0.0,0.3,1,South Korea,Portugal,2010-12-20,1,1,1
12,0.4,0.2,1.6,1.2,1.2,1.4,0.4444444444444444,0.8,1,France,Switzerland,2010-12-20,3,1,0
-21,0.4,0.0,1.2,0.2,1.0,0.4,0.6,0.3,0,Japan,Brazil,2010-12-23,1,0,0
-12,0.2,0.6,1.0,1.2,1.2,0.6,0.16666666666666666,0.85,0,USA,Belgium,2010-12-26,0,0,1
-18,0.4,0.4,1.4,1.8,0.2,1.2,0.0,0.6,0,Senegal,France,2010-12-28,0,2,2
-7,0.0,0.4,0.8,1.0,1.6,1.2,0.6,0.6,0,Switzerland,Spain,2011-01-01,2,1,0
11,0.6,0.4,1.8,1.0,0.6,0.6,0.5333333333333333,0.8,0,France,Denmark,2011-01-01,2,1,0
-2,0.6,0.0,0.8,0.2,0.0,0.6,0.5714285714285714,0.3,0,Argentina,Brazil,2011-01-05,2,0,0
-13,0.0,0.2,0.2,1.2,0.6,1.6,0.375,0.3,1,South Korea,Croatia,2011-01-10,1,1,1
-5,0.0,0.2,0.4,0.8,0.8,0.6,0.36363636363636365,0.3,0,South Korea,Senegal,2011-01-15,4,1,0
6,0.4,0.2,1.2,1.0,1.0,1.0,0.6153846153846154,0.3,1,Spain,Denmark,2011-01-16,3,3,1
-2,0.0,0.8,0.4,1.2,2.2,0.0,0.2857142857142857,1.0,1,England,Argentina,2011-01-18,2,0,0
-6,0.2,0.2,1.0,1.0,1.4,1.4,0.3076923076923077,0.3,0,Senegal,Switzerland,2011-01-27,1,0,0
-7,0.2,0.4,1.2,0.8,1.0,0.8,0.2857142857142857,0.3,0,South Korea,Mexico,2011-01-27,0,0,1
-2,0.2,0.0,0.8,1.2,1.4,1.8,0.21428571428571427,0.6,0,Switzerland,Croatia,2011-01-31,1,1,1
14,0.4,0.2,1.6,0.4,1.4,0.6,0.38461538461538464,0.3,0,Germany,Mexico,2011-02-02,1,0,0
-6,0.4,0.0,1.6,0.2,1.2,1.0,0.45454545454545453,0.3,0,Spain,Brazil,2011-02-02,4,1,0
-1,0.6,0.4,1.4,2.2,1.0,1.4,0.1111111111111111,0.6,0,Netherlands,Spain,2011-02-04,1,1,1
-5,0.2,0.2,0.4,1.4,0.6,1.4,0.3333333333333333,0.3,0,Mexico,Denmark,2011-02-05,0,1,2
-4,0.0,0.4,1.2,1.2,1.8,1.0,0.2222222222222222,0.3,0,Croatia,Netherlands,2011-02-05,1,2,2
-14,0.0,0.6,0.2,1.6,0.8,1.0,0.15384615384615385,1.0,1,Mexico,Germany,2011-02-08,1,1,1
20,0.0,0.2,0.2,0.8,1.6,0.8,0.5625,0.3,1,Brazil,USA,2011-02-22,2,0,0
9,0.2,0.2,0.8,0.8,2.0,1.4,0.4,0.85,0,England,Switzerland,2011-02-24,0,2,2
10,0.8,0.4,1.2,1.4,0.4,1.2,0.25,0.6,0,Argentina,Denmark,2011-02-26,1,3,2
-14,0.2,0.2,0.6,1.8,1.0,1.6,0.17647058823529413,0.8,0,USA,Spain,2011-03-01,0,2,2
-6,0.4,0.6,1.2,1.4,1.2,1.0,0.5,0.8,0,Switzerland,Netherlands,2011-03-01,0,2,2
13,0.2,0.4,0.6,1.0,1.6,1.0,0.3076923076923077,0.85,0,Brazil,Switzerland,2011-03-02,0,1,2
11,0.6,0.4,1.2,0.8,1.0,0.8,0.375,0.3,0,Argentina,Switzerland,2011-03-08,0,0,1
8,0.4,0.6,0.8,1.2,0.6,0.8,0.5384615384615384,0.3,0,Switzerland,Japan,2011-03-09,0,2,2
-1,0.4,0.4,1.4,0.6,1.2,0.6,0.14285714285714285,0.8,0,Italy,Belgium,2011-03-11,0,4,2
0,0.4,0.6,1.0,1.8,0.6,1.2,0.25,0.3,0,Morocco,Denmark,2011-03-18,2,1,0
-13,0.2,0.6,0.4,1.6,1.2,1.0,0.2857142857142857,0.3,0,USA,Netherlands,2011-03-19,0,0,1
-14,0.2,0.4,1.2,0.6,0.8,1.2,0.08333333333333333,0.3,0,South Korea,Uruguay,2011-03-22,1,2,2
-2,0.4,0.6,1.0,1.4,1.0,0.8,0.18181818181818182,0.8,0,Netherlands,Portugal,2011-03-23,1,1,1
-20,0.8,0.8,1.6,2.0,0.4,0.6,0.0,0.3,0,Japan,France,2011-03-23,0,0,1
-8,0.4,0.0,1.2,1.2,1.2,1.8,0.25,0.85,0,Senegal,Croatia,2011-03-25,1,2,2
-2,0.6,0.6,1.4,1.0,0.8,0.8,0.4,0.8,1,Morocco,Uruguay,2011-03-26,2,0,0
-17,0.2,0.4,1.4,1.2,1.0,0.6,0.38461538461538464,0.3,1,South Korea,Netherlands,2011-03-26,0,1,2
-18,0.2,0.4,0.4,0.8,1.0,1.0,0.14285714285714285,0.3,0,USA,Argentina,2011-03-27,0,1,2
-1,0.4,0.6,0.8,1.6,1.0,0.6,0.18181818181818182,0.6,0,Argentina,France,2011-04-03,1,0,0
-9,0.0,0.4,0.4,1.0,1.0,0.4,0.3,0.85,0,Mexico,Belgium,2011-04-03,1,0,0
-5,0.2,0.4,1.2,1.4,1.0,1.6,0.36363636363636365,0.3,0,South Korea,Senegal,2011-04-04,1,0,0
-7,0.4,0.6,1.0,1.4,0.4,0.6,0.17647058823529413,0.85,0,Belgium,France,2011-04-05,0,1,2
-19,0.8,0.4,1.4,0.6,0.2,1.0,0.18181818181818182,0.6,1,Japan,Argentina,2011-04-06,0,1,2
-9,0.6,0.6,1.0,1.0,1.2,0.4,0.5,0.8,0,Uruguay,France,2011-04-07,1,0,0
22,0.6,0.4,0.8,1.2,0.6,0.8,0.4166666666666667,0.3,0,Argentina,South Korea,2011-04-10,1,2,2
-5,0.6,0.4,1.0,1.2,1.2,0.8,0.6666666666666666,0.3,0,Uruguay,Portugal,2011-04-10,1,0,0
-2,0.6,0.4,1.6,0.6,0.8,0.6,0.2222222222222222,0.3,0,Germany,France,2011-04-10,2,0,0
5,0.6,0.6,1.2,1.4,0.4,0.6,0.5,0.6,0,Netherlands,Morocco,2011-04-14,0,3,2
-6,0.6,0.4,1.6,2.2,0.4,1.4,0.2727272727272727,0.3,0,Morocco,Spain,2011-04-17,1,1,1
14,0.2,0.2,0.8,0.6,0.8,1.8,0.2222222222222222,0.6,0,Portugal,Senegal,2011-04-17,1,1,1
-13,0.4,0.2,0.6,0.6,0.8,1.6,0.3076923076923077,0.8,0,Switzerland,Brazil,2011-04-17,1,0,0
1,0.4,0.4,1.8,0.4,1.6,0.8,0.45454545454545453,0.3,0,Denmark,Switzerland,2011-04-19,0,0,1
-10,0.6,0.2,1.2,1.2,0.4,1.2,0.3076923076923077,0.85,0,Japan,Croatia,2011-04-20,1,0,0
7,0.4,0.0,0.4,0.0,0.4,1.0,0.42857142857142855,0.3,0,Switzerland,USA,2011-04-22,0,0,1
-5,0.2,0.6,0.4,1.8,0.6,0.6,0.375,1.0,1,Mexico,Morocco,2011-04-22,3,2,0
-7,0.2,0.4,1.0,0.8,1.2,2.0,0.16666666666666666,0.6,0,Croatia,England,2011-04-28,1,1,1
-3,0.2,0.2,0.6,0.2,2.2,0.8,0.5625,0.8,0,England,France,2011-04-28,2,0,0
1,0.2,0.6,1.0,2.0,1.2,1.0,0.4666666666666667,0.3,0,Croatia,Morocco,2011-05-09,2,1,0
4,0.4,0.6,2.2,1.0,1.2,1.2,0.2857142857142857,0.3,0,Spain,Uruguay,2011-05-10,2,0,0
2,0.4,0.6,1.0,2.0,1.4,0.6,0.1111111111111111,0.8,0,England,Spain,2011-05-11,0,1,2
-3,0.4,0.6,0.8,0.8,0.8,0.2,0.4166666666666667,0.6,0,South Korea,Japan,2011-05-11,1,1,1
3,0.4,0.6,0.8,0.8,0.8,1.0,0.2857142857142857,0.85,0,Netherlands,Uruguay,2011-05-11,1,3,2
-4,0.4,0.4,0.8,1.0,0.4,1.0,0.125,0.3,0,Japan,Mexico,2011-05-13,0,1,2
6,0.0,0.4,0.6,1.2,0.8,1.2,0.3333333333333333,0.3,0,Portugal,Croatia,2011-05-17,1,0,0
-13,0.6,0.4,1.2,1.0,0.8,0.8,0.2222222222222222,0.3,0,Mexico,England,2011-05-19,2,0,0
1,0.2,0.0,0.8,0.0,1.6,1.0,0.4,0.3,0,Senegal,USA,2011-05-20,2,1,0
20,0.2,0.0,0.6,0.2,1.6,1.0,0.5625,0.3,0,Brazil,USA,2011-05-21,1,0,0
-5,0.4,0.2,1.8,0.6,1.2,1.4,0.5,0.8,0,Morocco,Netherlands,2011-05-24,2,1,0
8,0.4,0.0,1.6,0.2,1.2,0.8,0.3888888888888889,0.3,0,Denmark,USA,2011-05-25,1,1,1
-2,0.6,0.2,1.4,0.6,0.4,1.2,0.5,1.0,1,Spain,England,2011-05-25,1,1,1
-8,0.4,0.4,1.0,0.8,0.4,1.2,0.08333333333333333,1.0,1,Belgium,Brazil,2011-05-29,1,1,1
-6,0.6,0.2,1.0,0.8,1.0,1.0,0.3,0.3,0,Uruguay,England,2011-05-30,2,0,0
5,0.6,0.4,1.4,1.0,0.4,1.0,0.5,0.3,0,Spain,Croatia,2011-06-01,0,1,2
16,0.0,0.0,0.4,0.4,1.4,1.0,0.3333333333333333,0.85,0,England,USA,2011-06-04,0,0,1
17,0.2,0.4,0.8,1.0,1.8,1.0,0.46153846153846156,0.3,0,Netherlands,South Korea,2011-06-07,0,2,2
-11,0.8,0.4,1.6,1.0,0.6,0.6,0.25,0.3,1,Mexico,Spain,2011-06-11,0,1,2
13,0.0,0.8,0.2,1.4,1.2,0.6,0.4444444444444444,0.3,0,England,Mexico,2011-06-15,1,1,1
7,0.0,0.4,0.4,0.8,1.2,0.8,0.5,0.6,0,England,Croatia,2011-06-16,1,0,0
-2,0.2,0.6,1.0,1.0,0.6,0.4,0.5833333333333334,0.3,0,Belgium,Spain,2011-06-19,3,1,0
20,0.2,0.2,0.2,0.4,1.2,0.6,0.36363636363636365,1.0,1,France,Japan,2011-06-22,0,0,1
-18,0.0,0.6,0.4,0.8,0.8,0.4,0.14285714285714285,0.3,0,USA,Argentina,2011-06-24,1,1,1
23,0.2,0.6,0.2,1.2,1.0,0.6,0.4,0.3,0,France,South Korea,2011-06-26,1,1,1
-12,0.4,0.2,1.0,0.6,1.0,2.0,0.0,1.0,1,Senegal,Netherlands,2011-07-06,2,2,1
4,0.0,0.6,0.6,1.4,1.0,0.6,0.4,0.3,0,USA,South Korea,2011-07-09,1,0,0
-6,0.4,0.6,1.6,1.0,0.8,0.6,0.6153846153846154,0.3,0,Belgium,Argentina,2011-07-11,1,0,0
12,0.0,0.2,0.4,0.2,1.2,0.4,0.4444444444444444,0.6,1,France,Switzerland,2011-07-11,1,0,0
-4,0.2,0.0,0.8,0.2,0.8,1.2,0.42857142857142855,1.0,1,Portugal,France,2011-07-11,1,1,1
-8,0.8,0.4,1.4,0.8,0.6,0.8,0.38461538461538464,0.85,1,Uruguay,Argentina,2011-07-12,1,0,0
14,0.8,0.4,1.4,1.2,0.6,0.8,0.5,1.0,1,Uruguay,South Korea,2011-07-13,0,0,1
1,0.4,0.4,1.0,1.2,0.8,1.8,0.5,0.8,1,Belgium,Italy,2011-07-15,2,1,0
-1,0.2,0.6,0.6,1.6,0.8,0.8,0.3076923076923077,0.3,0,England,Germany,2011-07-18,0,2,2
5,0.4,0.6,1.2,1.4,0.8,0.8,0.4444444444444444,0.3,0,Denmark,Mexico,2011-07-21,1,0,0
-4,0.4,0.2,0.8,0.6,1.0,1.0,0.21428571428571427,1.0,1,Spain,Argentina,2011-07-27,2,0,0
9,0.4,0.2,1.2,0.4,0.8,0.6,0.38461538461538464,0.3,0,Denmark,Japan,2011-07-31,0,0,1
3,0.4,0.6,0.8,1.2,0.6,0.8,0.2727272727272727,0.3,0,Brazil,Germany,2011-08-01,2,1,0
